Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Danny da Costa,de GER,"DF,MF",Mainz 05,de Bundesliga,32-304,33,2650,26,29,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Samu Costa,pt POR,MF,Mallorca,es La Liga,25-167,32,2546,34,25,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
David Costas,es ESP,DF,Oviedo,es La Liga,31-048,23,1886,22,25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,27-040,23,2012,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Vladimír Coufal,cz CZE,"DF,MF",Hoffenheim,de Bundesliga,33-264,33,2922,33,37,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
Abdoul Coulibaly,de GER,DF,Werder Bremen,de Bundesliga,18-355,26,2030,14,23,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Djibril Coulibaly,fr FRA,MF,Nice,fr Ligue 1,17-176,2,13,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,30-033,31,2509,28,9,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Lasso Coulibaly,ci CIV,MF,Auxerre,fr Ligue 1,23-206,17,321,5,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,22-022,24,1357,20,21,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,22-211,16,1338,12,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Woyo Coulibaly,ml MLI,DF,Sassuolo,it Serie A,26-352,18,874,13,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Marius Courcoul,fr FRA,MF,Angers,fr Ligue 1,19-132,18,374,9,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,34-002,29,2610,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Yan Couto,br BRA,MF,Dortmund,de Bundesliga,23-344,18,994,15,9,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Patrice Čović,hr CRO,MF,Werder Bremen,de Bundesliga,18-322,14,330,4,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,27-125,29,2301,27,21,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Ben Cremaschi,us USA,MF,Parma,it Serie A,21-072,8,132,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
