Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Antoine Mendy,sn SEN,DF,Nice,fr Ligue 1,21-351,24,2007,35,18,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,30-339,5,207,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Formose Mendy,sn SEN,DF,Lorient,fr Ligue 1,25-131,2,135,1,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nobel Mendy,sn SEN,DF,Rayo Vallecano,es La Liga,21-252,22,1617,12,23,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,27-299,29,2237,36,23,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Quentin Merlin,fr FRA,"DF,MF",Rennes,fr Ligue 1,23-362,32,2443,37,27,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Karol Mets,ee EST,DF,St Pauli,de Bundesliga,32-362,23,1932,22,22,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Thomas Meunier,be BEL,DF,Lille,fr Ligue 1,34-243,25,1909,18,17,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
William Mikelbrencis,fr FRA,"MF,DF",Hamburger SV,de Bundesliga,22-077,25,1370,22,6,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Nikola Milenković,rs SRB,DF,Nottingham Forest,eng Premier League,28-213,36,3195,18,29,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lewis Miley,eng ENG,"MF,DF",Newcastle United,eng Premier League,20-012,23,1496,18,20,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Éder Militão,br BRA,DF,Real Madrid,es La Liga,28-115,16,1139,16,10,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Veljko Milosavljević,rs SRB,DF,Bournemouth,eng Premier League,18-319,7,368,4,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,29-179,25,1602,19,38,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
